cellid,commid,xcoord,ycoord
1,305,9.01299,45.35774
2,305,9.01599,45.35774
3,305,9.01899,45.35774
4,305,9.02199,45.35774
5,305,9.02499,45.35774
6,305,9.02799,45.35774
7,305,9.03099,45.35774
8,305,9.03399,45.35774
9,305,9.03699,45.35774
10,305,9.03999,45.35774
11,305,9.04299,45.35774
12,8502,9.046,45.35773
13,3118,9.049,45.35773
14,3118,9.052,45.35773
15,3118,9.055,45.35773
16,3633,9.058,45.35773
17,3633,9.061,45.35773
18,3633,9.064,45.35773
19,3633,9.067,45.35772
20,3633,9.07,45.35772
21,3633,9.073,45.35772
22,3633,9.076,45.35772
23,3633,9.079,45.35772
24,3633,9.082,45.35771
25,3633,9.085,45.35771
26,3633,9.088,45.35771
27,3633,9.091,45.35771
28,3633,9.094,45.35771
29,3633,9.097,45.3577
30,3633,9.1,45.3577
31,3633,9.103,45.3577
32,3633,9.106,45.3577
33,1251,9.109,45.35769
34,1251,9.112,45.35769
35,1251,9.115,45.35769
36,1251,9.118,45.35768
37,1251,9.121,45.35768
38,1251,9.12401,45.35768
39,1251,9.12701,45.35767
40,1251,9.13001,45.35767
41,1251,9.13301,45.35767
42,1251,9.13601,45.35766
43,147,9.13901,45.35766
44,147,9.14201,45.35766
45,147,9.14501,45.35765
46,147,9.14801,45.35765
47,147,9.15101,45.35764
48,147,9.15401,45.35764
49,147,9.15701,45.35764
50,147,9.16001,45.35763
51,147,9.16301,45.35763
52,147,9.16601,45.35762
53,147,9.16901,45.35762
54,147,9.17201,45.35761
55,147,9.17501,45.35761
56,1251,9.17801,45.35761
57,1251,9.18101,45.3576
58,964,9.18401,45.3576
59,964,9.18701,45.35759
60,964,9.19001,45.35759
61,964,9.19301,45.35758
62,964,9.19601,45.35758
63,964,9.19901,45.35757
64,964,9.20201,45.35757
65,964,9.20501,45.35756
66,964,9.20802,45.35755
67,964,9.21102,45.35755
68,964,9.21402,45.35754
69,964,9.21702,45.35754
70,964,9.22002,45.35753
71,964,9.22302,45.35753
72,964,9.22602,45.35752
73,964,9.22902,45.35751
74,964,9.23202,45.35751
75,964,9.23502,45.3575
76,964,9.23802,45.3575
77,964,9.24102,45.35749
78,964,9.24402,45.35748
79,964,9.24702,45.35748
80,964,9.25002,45.35747
81,964,9.25302,45.35746
82,964,9.25602,45.35746
83,964,9.25902,45.35745
84,964,9.26202,45.35744
85,964,9.26502,45.35744
86,964,9.26802,45.35743
87,3380,9.27102,45.35742
88,3380,9.27402,45.35742
89,3380,9.27702,45.35741
90,3380,9.28002,45.3574
91,3380,9.28302,45.35739
92,3380,9.28602,45.35739
93,3380,9.28902,45.35738
94,3380,9.29202,45.35737
95,3380,9.29503,45.35736
96,3380,9.29803,45.35736
97,3380,9.30103,45.35735
98,3380,9.30403,45.35734
99,3380,9.30703,45.35733
100,3380,9.31003,45.35732
101,305,9.01299,45.35986
102,305,9.01599,45.35986
103,305,9.01899,45.35986
104,305,9.02199,45.35986
105,305,9.02499,45.35986
106,305,9.02799,45.35986
107,305,9.03099,45.35986
108,305,9.03399,45.35985
109,305,9.037,45.35985
110,305,9.04,45.35985
111,305,9.043,45.35985
112,305,9.046,45.35985
113,305,9.049,45.35985
114,3118,9.052,45.35985
115,3633,9.055,45.35985
116,3633,9.058,45.35984
117,3633,9.061,45.35984
118,3633,9.064,45.35984
119,3633,9.067,45.35984
120,3633,9.07,45.35984
121,3633,9.073,45.35984
122,3633,9.076,45.35983
123,3633,9.079,45.35983
124,3633,9.082,45.35983
125,3633,9.085,45.35983
126,3633,9.088,45.35983
127,3633,9.091,45.35982
128,3633,9.094,45.35982
129,3633,9.09701,45.35982
130,3633,9.10001,45.35982
131,3633,9.10301,45.35981
132,3633,9.10601,45.35981
133,3633,9.10901,45.35981
134,3633,9.11201,45.3598
135,1251,9.11501,45.3598
136,1251,9.11801,45.3598
137,1251,9.12101,45.3598
138,1251,9.12401,45.35979
139,1251,9.12701,45.35979
140,1251,9.13001,45.35979
141,1251,9.13301,45.35978
142,1251,9.13601,45.35978
143,1251,9.13901,45.35977
144,147,9.14201,45.35977
145,147,9.14501,45.35977
146,147,9.14801,45.35976
147,147,9.15101,45.35976
148,147,9.15401,45.35976
149,147,9.15702,45.35975
150,147,9.16002,45.35975
151,147,9.16302,45.35974
152,1251,9.16602,45.35974
153,1251,9.16902,45.35973
154,1251,9.17202,45.35973
155,1251,9.17502,45.35973
156,1251,9.17802,45.35972
157,1251,9.18102,45.35972
158,964,9.18402,45.35971
159,964,9.18702,45.35971
160,964,9.19002,45.3597
161,964,9.19302,45.3597
162,964,9.19602,45.35969
163,964,9.19902,45.35969
164,964,9.20202,45.35968
165,964,9.20502,45.35968
